id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
aala1237,aust1307,ramo1244,Aalawa,FALSE,dialect,safe,,,,,,0,0,0,
aant1238,nucl1709,nort2920,Aantantara,FALSE,dialect,safe,,,,,,0,0,0,
aari1238,sout2845,ahkk1235,Aari-Gayil,FALSE,family,safe,,,aiz,,,0,2,0,
aari1239,sout2845,aari1238,Aari,FALSE,language,safe,5.95034,36.5721,aiw,,,0,0,0,ET
aari1240,book1242,book1242,Aariya,TRUE,language,safe,,,aay,,,0,0,0,IN
aasa1238,afro1255,unun9872,Aasax,FALSE,language,extinct,-4.00679,36.8648,aas,,,0,0,0,TZ
aata1238,nucl1709,sout2943,Aatasaara,FALSE,dialect,safe,,,,,,0,0,0,
abaa1238,sino1245,tibe1272,Aba,FALSE,dialect,safe,,,,,,0,0,0,
abab1239,afro1255,beja1238,Ababda,FALSE,dialect,safe,,,,,,0,0,0,
abab1240,atla1278,narr1281,Ababuan,FALSE,family,safe,,,,,,13,22,29,
abad1240,abkh1242,adyg1241,Abadzex,FALSE,dialect,safe,,,,,,0,0,0,
abad1241,aust1307,west2850,Abadi,FALSE,language,safe,-9.03389,146.992,kbt,,,0,0,0,PG
abag1245,nucl1709,unun9976,Abaga,FALSE,language,critically endangered,-6.12028,145.665,abg,,,0,0,0,PG
abai1239,aust1307,lund1271,Abai,FALSE,dialect,safe,,,,,,0,0,0,
abai1240,aust1307,pait1248,Abai Sungai,FALSE,language,definitely endangered,5.55394,118.306,abf,,,0,0,0,MY
abai1241,aust1307,muru1275,Abai Tubu-Abai Sembuak,FALSE,language,safe,,,,,,0,0,0,MY
abak1242,atla1278,anaa1238,Abak,FALSE,dialect,safe,,,,,,0,0,0,
abak1243,aust1307,ilon1239,Abaka,FALSE,dialect,safe,,,,,,0,0,0,
abal1238,yele1255,yele1255,Abaletti,FALSE,dialect,safe,,,,,,0,0,0,
abam1239,east2503,wipi1242,Abam,FALSE,dialect,safe,,,,,,0,0,0,
aban1242,atla1278,aban1244,Abanyom,FALSE,language,safe,6.30619,8.63055,abm,,,0,0,0,NG
aban1243,quec1387,east2551,Abancay,FALSE,dialect,safe,,,,,,0,0,0,
aban1244,atla1278,bako1254,Abanyom-Ekajuk,FALSE,family,safe,,,,,,0,3,0,
abar1238,atla1278,sout3152,Mungbam,FALSE,language,definitely endangered,6.5805,10.2267,mij,,,0,0,0,CM
abau1245,sepi1257,sepi1257,Abau,FALSE,language,definitely endangered,-3.97222,141.324,aau,,,0,0,0,PG
abaw1238,atla1278,gupa1248,Abawa,FALSE,dialect,safe,,,,,,0,0,0,
abay1238,atla1278,agwa1247,Abayongo,FALSE,dialect,safe,,,,,,0,0,0,
abaz1241,abkh1242,abkh1243,Abaza,FALSE,language,vulnerable,41.1214,42.7273,abq,,,0,0,3,RU TR
abbe1238,atla1278,abee1242,Abbey-Ve,FALSE,dialect,safe,,,,,,0,0,0,
abbr1238,indo1319,sint1235,Abbruzzesi,FALSE,dialect,safe,,,,,,0,0,0,
abda1238,afro1255,soqo1240,'Abd Al-Kuri,FALSE,dialect,safe,,,,,,0,0,0,
abed1238,cent2225,lugb1240,Abedju-Azaki,FALSE,dialect,safe,,,,,,0,0,0,
abee1242,atla1278,agne1238,Abé,FALSE,language,safe,5.59682,-4.38497,aba,,,0,0,4,CI
abee1243,atla1278,anyi1245,Abe (Anyin),FALSE,dialect,safe,,,,,,0,0,0,
abel1234,aust1307,samb1319,Abellen-Botolan,FALSE,family,safe,,,,,,0,2,2,
aben1247,sino1245,garo1247,Abeng,FALSE,dialect,safe,,,,,,0,0,0,
aben1248,sino1245,garo1247,A'beng,FALSE,dialect,safe,,,,,,0,0,0,
aben1249,aust1307,abel1234,Abenlen Ayta,FALSE,language,definitely endangered,15.4131,120.2,abp,,,0,0,0,PH
abgu1238,afro1255,birg1239,Abgue,FALSE,dialect,safe,,,,,,0,0,0,
abid1235,atla1278,agne1238,Abidji,FALSE,language,safe,5.65656,-4.58421,abi,,,0,0,2,CI
abie1238,nilo1247,sout2832,Abiem,FALSE,dialect,safe,,,,,,0,0,0,
abig1238,nilo1247,nuer1246,Abigar,FALSE,dialect,safe,,,,,,0,0,0,
abil1238,nilo1247,nort2815,Abiliang,FALSE,dialect,safe,,,,,,0,0,0,
abin1242,atla1278,agwa1247,Abini,FALSE,dialect,safe,,,,,,0,0,0,
abin1243,,,Abinomn,FALSE,language,definitely endangered,-2.92281,138.891,bsa,,,0,0,0,ID
abip1241,guai1249,guai1250,Abipon,FALSE,language,extinct,-29,-61,axb,,,0,0,0,AR
abis1238,,,Aewa,FALSE,language,extinct,-0.69386,-75.2183,ash,,,0,0,0,PE
abka1238,maba1274,maba1277,Abkar,FALSE,dialect,safe,,,,,,0,0,0,
abkh1242,,,Abkhaz-Adyge,FALSE,family,safe,,,,,,2,5,12,
abkh1243,abkh1242,abkh1242,Abkhaz-Abaza,FALSE,family,safe,,,,,,0,2,6,
abkh1244,abkh1242,abkh1243,Abkhazian,FALSE,language,vulnerable,43.056218,41.159115,abk,,,0,0,3,GE RU TR
able1237,aust1307,lubu1243,Ableg-Salegseg,FALSE,dialect,safe,,,,,,0,0,0,
abob1234,atla1278,basa1283,Abo-Barombi,FALSE,family,safe,,,,,,0,2,0,
abom1238,anim1240,tiri1259,Abom,FALSE,language,critically endangered,-8.42448,142.842,aob,,,0,0,0,PG
abon1238,atla1278,nort3192,Abon,FALSE,language,safe,6.90621,10.8769,abo,,,0,0,0,CM NG
aboo1241,atla1278,boky1238,Abo (Bokyi),FALSE,dialect,safe,,,,,,0,0,0,
aboo1242,atla1278,ukwu1241,Abo,FALSE,dialect,safe,,,,,,0,0,0,
abou1238,tama1329,mara1396,Abou Charib,FALSE,dialect,safe,,,,,,0,0,0,
abra1237,aust1307,iray1237,Abra-De-Ilog,FALSE,dialect,safe,,,,,,0,0,0,
abro1238,atla1278,akan1251,Abron,FALSE,language,safe,7.72094,-2.50289,abr,,,0,0,0,CI GH
abru1239,indo1319,ital1282,Abruzzese,FALSE,dialect,safe,,,,,,0,0,0,
absh1238,indo1319,musl1236,Absheron,FALSE,dialect,safe,,,,,,0,0,0,
abua1243,atla1278,cent2028,Abua-Odual,FALSE,family,safe,,,,,,0,2,6,
abua1244,atla1278,abua1243,Abua,FALSE,language,safe,4.83057,6.61492,abn,,,0,0,4,NG
abua1245,nucl1708,buki1250,Abu' Arapesh,FALSE,language,definitely endangered,-3.461612,142.917031,aah,,,0,0,0,PG
abui1241,timo1261,alor1250,Abui,FALSE,language,definitely endangered,-8.31058,124.588,abz,,,0,0,3,ID
abuj1237,drav1251,mari1414,Abujmaria,FALSE,dialect,safe,,,,,,0,0,0,
abul1238,nilo1247,buru1301,Abuldugu,FALSE,dialect,safe,,,,,,0,0,0,
abun1252,,,Abun,FALSE,language,definitely endangered,-0.57073,132.416,kgr,,,0,0,3,ID
abun1253,abun1252,abun1252,Abun Je,FALSE,dialect,safe,,,,,,0,0,0,
abun1254,abun1252,abun1252,Abun Tat,FALSE,dialect,safe,,,,,,0,0,0,
abun1255,abun1252,abun1252,Abun Ji,FALSE,dialect,safe,,,,,,0,0,0,
abur1243,atla1278,west2816,Abure,FALSE,language,safe,5.21534,-3.64123,abu,,,0,0,0,CI
abur1244,atla1278,kugb1242,Abureni,FALSE,language,safe,4.62301,6.50634,mgj,,,0,0,0,NG
abus1238,kadu1256,kang1288,Abu Sinun,FALSE,dialect,safe,,,,,,0,0,0,
abuu1241,lowe1437,agoa1234,Abu,FALSE,language,definitely endangered,-4.24027,144.474,ado,,,0,0,3,PG
abzh1238,abkh1242,abkh1244,Abzhui,FALSE,dialect,safe,,,,,,0,0,0,
acad1238,indo1319,stan1290,Acadian,FALSE,dialect,safe,,,,,,0,0,0,
