old,new,oldupper
V1,responseid,V1
v2,responseset,V2
v3,name,V3
v4,externaldataref,V4
v5,email,V5
v7,status,V7
v8,startdate,V8
v9,enddate,V9
v10,finished,V10
sc0_0,score_sum,SC0_0
sc0_1,score_avg,SC0_1
sc0_2,score_stdev,SC0_2
sc1_0,uhoh_sum,SC1_0
sc1_1,uhoh_avg,SC1_1
sc1_2,uhoh_stdev,SC1_2
qid1211_1_text,meta_browser,QID1211_1_TEXT
qid1211_2_text,meta_version,QID1211_2_TEXT
qid1211_3_text,meta_os,QID1211_3_TEXT
qid1211_4_text,meta_resolu,QID1211_4_TEXT
qid1211_5_text,meta_flash,QID1211_5_TEXT
qid1211_6_text,meta_java,QID1211_6_TEXT
qid1211_7_text,meta_ua,QID1211_7_TEXT
qid1198,gender,QID1198
qid1199,age,QID1199
qid1257,natcountry,QID1257
qid1258,natlang,QID1258
qid1260,internet,QID1260
qid1261,musiclisten,QID1261
qid1262,musicskill,QID1262
qid1263,musictrad,QID1263
qid1212,check_sky,QID1212
qid1213,check_headphones,QID1213
qid1214,check_quiet,QID1214
qid1216,check_careful,QID1216
qid1220,hc1_ios,QID1220
qid1221,hc1_iso,QID1221
qid1222,hc1_ois,QID1222
qid1223,hc1_osi,QID1223
qid1224,hc1_sio,QID1224
qid1225,hc1_soi,QID1225
qid1226,hc2_ios,QID1226
qid1227,hc2_iso,QID1227
qid1228,hc2_ois,QID1228
qid1229,hc2_osi,QID1229
qid1230,hc2_sio,QID1230
qid1231,hc2_soi,QID1231
qid1232,hc3_ios,QID1232
qid1233,hc3_iso,QID1233
qid1234,hc3_ois,QID1234
qid1235,hc3_osi,QID1235
qid1236,hc3_sio,QID1236
qid1237,hc3_soi,QID1237
qid1238,hc4_ios,QID1238
qid1239,hc4_iso,QID1239
qid1240,hc4_ois,QID1240
qid1241,hc4_osi,QID1241
qid1242,hc4_sio,QID1242
qid1243,hc4_soi,QID1243
qid1244,hc5_ios,QID1244
qid1245,hc5_iso,QID1245
qid1246,hc5_ois,QID1246
qid1247,hc5_osi,QID1247
qid1248,hc5_sio,QID1248
qid1249,hc5_soi,QID1249
qid1250,hc6_ios,QID1250
qid1251,hc6_iso,QID1251
qid1252,hc6_ois,QID1252
qid1253,hc6_osi,QID1253
qid1254,hc6_sio,QID1254
qid1255,hc6_soi,QID1255
qid108,play1,QID108
qid23,uhoh1,QID23
qid24_1,danc1,QID24_1
qid67_1,heal1,QID67_1
qid68_1,baby1,QID68_1
qid69_1,love1,QID69_1
qid1267_1,achi1,QID1267_1
qid1268_1,visi1,QID1268_1
qid1269,like1,QID1269
qid137,play2,QID137
qid138,uhoh2,QID138
qid139_1,danc2,QID139_1
qid140_1,heal2,QID140_1
qid141_1,baby2,QID141_1
qid142_1,love2,QID142_1
qid1317_1,achi2,QID1317_1
qid1318_1,visi2,QID1318_1
qid1319,like2,QID1319
qid146,play3,QID146
qid147,uhoh3,QID147
qid148_1,danc3,QID148_1
qid149_1,heal3,QID149_1
qid150_1,baby3,QID150_1
qid151_1,love3,QID151_1
qid1320_1,achi3,QID1320_1
qid1321_1,visi3,QID1321_1
qid1322,like3,QID1322
qid155,play4,QID155
qid156,uhoh4,QID156
qid157_1,danc4,QID157_1
qid158_1,heal4,QID158_1
qid159_1,baby4,QID159_1
qid160_1,love4,QID160_1
qid1323_1,achi4,QID1323_1
qid1324_1,visi4,QID1324_1
qid1325,like4,QID1325
qid164,play5,QID164
qid165,uhoh5,QID165
qid166_1,danc5,QID166_1
qid167_1,heal5,QID167_1
qid168_1,baby5,QID168_1
qid169_1,love5,QID169_1
qid1326_1,achi5,QID1326_1
qid1327_1,visi5,QID1327_1
qid1328,like5,QID1328
qid173,play6,QID173
