Feature,Definition,Variable Name,Behavioural Context,Cohort,Source
Macrometer consistency (ordinal),"The perceived clarity of the metrical rhythmic structure (groupings of perceived strong and weak beats). Consistency of macrometer converted to ordinal scale, from ""No macrometer"" (1) to ""Totally clear macrometer"" (6).",macrometer_ord,for dancing,"Industrialised, Smaller-scale",Expert Annotation
Macrometer consistency (ordinal),"The perceived clarity of the metrical rhythmic structure (groupings of perceived strong and weak beats). Consistency of macrometer converted to ordinal scale, from ""No macrometer"" (1) to ""Totally clear macrometer"" (6).",macrometer_ord,to soothe a baby,Industrialised,Expert Annotation
Macrometer consistency (ordinal),"The perceived clarity of the metrical rhythmic structure (groupings of perceived strong and weak beats). Consistency of macrometer converted to ordinal scale, from ""No macrometer"" (1) to ""Totally clear macrometer"" (6).",macrometer_ord,to heal illness,Industrialised,Expert Annotation
Tempo (adjusted),"The rate of salient rhythmic pulses (measured by having annotators tap the beat), adjusted to correspond with ’quarter note’ equivalent; measured in beats per minute; the perceived speed of the music. A fast song will have a high value.",tempo_adj,for dancing,"Industrialised, Smaller-scale",Expert Annotation
Tempo (adjusted),"The rate of salient rhythmic pulses (measured by having annotators tap the beat), adjusted to correspond with ’quarter note’ equivalent; measured in beats per minute; the perceived speed of the music. A fast song will have a high value.",tempo_adj,to soothe a baby,Industrialised,Expert Annotation
Tempo (adjusted),"The rate of salient rhythmic pulses (measured by having annotators tap the beat), adjusted to correspond with ’quarter note’ equivalent; measured in beats per minute; the perceived speed of the music. A fast song will have a high value.",tempo_adj,to heal illness,Industrialised,Expert Annotation
Accent,"The differentiation of musical pulses, usually by volume or emphasis of articulation. A fluid, gentle song will have few accents and a correspondingly low value.",accent,for dancing,"Industrialised, Smaller-scale",Expert Annotation
Accent,"The differentiation of musical pulses, usually by volume or emphasis of articulation. A fluid, gentle song will have few accents and a correspondingly low value.",accent,to soothe a baby,"Industrialised, Smaller-scale",Expert Annotation
Triple rhythm,The presence of triple subdivisions of the beat.,micrometer_triple,for dancing,Industrialised,Expert Annotation
Triple rhythm,The presence of triple subdivisions of the beat.,micrometer_triple,to soothe a baby,Industrialised,Expert Annotation
Duple rhythm,The presence of duple subdivisions of the beat.,micrometer_duple,for dancing,Industrialised,Expert Annotation
Ornamentation,Complex melodic variation or “decoration” of a perceived underlying musical structure. A song perceived as having ornamentation is annotated with a value of 1.,ornament,for dancing,Industrialised,Expert Annotation
