Language Family,Language,Total n,Subregion,Country,Country-wise n
Afro-Asiatic,Amharic,33,Africa,Ethiopia,33
,Arabic,534,Africa,Egypt,133
,,,,Morocco,133
,,,Middle East,Oman,2
,,,,Saudi Arabia,133
,,,,United Arab Emirates,131
,,,Western Europe,Belgium,2
Atlantic-Congo,Zulu,66,Southern Africa,South Africa,66
,Swahili,132,Eastern Africa,Kenya,132
Austroasiatic,Vietnamese,135,Southeast Asia,Vietnam,135
,Filipino,132,Southeast Asia,Philippines,132
,Indonesian,133,Southeast Asia,Indonesia,133
Indo-European,Bengali,133,South Asia,Bangladesh,27
,,,,India,106
,Czech,133,Central Europe,Czech Republic,133
,Danish,133,Scandinavia,Denmark,133
,Dutch,178,Western Europe,Belgium,45
,,,,Netherlands,133
,French,257,Western Africa,Benin,1
,,,,Burkina Faso,4
,,,,Cameroon,17
,,,Western Europe,Belgium,102
,,,,France,133
,German,136,Central Europe,Austria,133
,,,Western Europe,Belgium,3
,English,819,Arctic and Subarctic,Canada,133
,,,Australia,Australia,133
,,,British Isles,United Kingdom,133
,,,Polynesia,New Zealand,133
,,,Southeast Asia,Singapore,133
,,,Southern Africa,Namibia,5
,,,,South Africa,87
,,,,Zambia,14
,,,Western Africa,Ghana,46
,,,Western Europe,Belgium,2
,Italian,125,Southern Europe,Italy,124
,,,Western Europe,Belgium,1
,Greek,133,Southeastern Europe,Greece,133
,Norwegian,133,Scandinavia,Norway,133
,Portuguese,297,Southern Europe,Portugal,134
,,,Southern South America,Brazil,163
,Romanian,135,Southeastern Europe,Romania,135
,Russian,141,Eastern Europe,Russian Federation,141
,Spanish,533,Northern Mexico,Mexico,133
,,,Northwestern South America,Colombia,133
,,,Southern Europe,Spain,133
,,,Southern South America,Argentina,134
,Ukrainian,133,Eastern Europe,Ukraine,133
,Urdu,133,South Asia,Pakistan,133
Japonic,Japanese,134,East Asia,Japan,134
Koreanic,Korean,134,East Asia,South Korea,134
Sino-Tibetan,Mandarin,266,East Asia,China,133
,,,,Hong Kong,133
Turkic,Turkish,132,Southeastern Europe,Turkey,131
,,,Western Europe,Belgium,1
Uralic,Finnish,133,Scandinavia,Finland,133
